,vocab,vocab_freq,vocab_df
1329,gaap,37,27
1330,delinquent,37,26
1331,penalties,37,26
1332,application,37,26
1333,usage,37,24
1334,slow,37,24
1335,fell,37,24
1336,opened,37,14
1337,fully,36,35
1338,repayment,36,35
1339,unanticipated,36,33
1340,followed,36,32
1341,acquisitions,36,30
1342,waterfront,36,30
1343,governor,36,30
1344,drop,36,29
1345,unions,36,28
1346,led,36,27
1347,decreasing,36,26
1348,experience,36,24
1349,llc,36,20
1350,manageable,36,20
1351,relief,36,18
1352,es,36,7
1353,utica,36,6
1354,focusing,35,35
1355,integral,35,35
1356,expended,35,32
1357,executive,35,30
1358,transferred,35,30
1359,measurable,35,29
1360,losses,35,28
1361,managed,35,25
1362,millions,35,24
1363,assisted,35,24
1364,closely,35,24
1365,controls,35,24
1366,investing,35,23
1367,industries,35,21
1368,impacts,35,21
1369,employed,35,20
1370,proactive,35,17
1371,depreciated,34,34
1372,exclude,34,34
1373,organized,34,34
1374,inspection,34,31
1375,creation,34,31
1376,recreational,34,31
1377,comprehensive,34,30
1378,contracted,34,29
1379,issuances,34,29
1380,trends,34,29
1381,fall,34,29
1382,functional,34,29
1383,announced,34,28
1384,driven,34,27
1385,nearly,34,27
1386,sold,34,27
1387,closed,34,26
1388,western,34,26
1389,establish,34,25
1390,efficiency,34,25
1391,washington,34,24
1392,recoveries,34,23
1393,commitment,34,21
1394,purchasing,34,20
1395,inclusive,34,19
1396,animal,34,19
1397,priorities,34,17
1398,access,34,16
1399,nation,34,15
1400,deposits,33,33
1401,remittance,33,33
1402,transactions,33,32
1403,reviewing,33,30
1404,forfeitures,33,30
1405,return,33,30
1406,reductions,33,29
1407,format,33,28
1408,constraints,33,28
1409,despite,33,28
1410,summarized,33,27
1411,consolidated,33,26
1412,amortization,33,26
1413,core,33,24
1414,ordinance,33,24
1415,offsetting,33,24
1416,relate,33,23
1417,retention,33,23
1418,code,33,22
1419,enforcement,33,21
1420,cdbg,33,21
1421,host,33,12
1422,drum,33,8
1423,jefferson,33,8
1424,purely,32,32
1425,individuals,32,31
1426,connection,32,31
1427,dependent,32,30
1428,fair,32,29
1429,fluctuations,32,28
1430,expressed,32,28
1431,rental,32,27
1432,officers,32,27
1433,matters,32,26
1434,half,32,26
1435,retirements,32,25
1436,lien,32,25
